region,local_authority,road_name,road_classification,managed_by,road_type,start_junction,end_junction,link_km,link_miles,easting,northing,latitude,longitude,count_point_id
South East,East Sussex,A21,'A' road,Highways England,Major,B2244,B2089,4.20,2.61,576272,119457,50.94759458,0.50800747,6259
South East,East Sussex,A22,'A' road,Local authority,Major,A272,A275,9.70,6.03,543800,130000,51.05134829,0.05026760,6262
South East,East Sussex,A22,'A' road,Local authority,Major,B2124,A26,9.70,6.03,552171,114497,50.90988445,0.16312517,6264
London,Lambeth,A23,'A' road,Local authority,Major,A203,A202,1.70,1.06,531200,176000,51.46776818,-0.11253378,6266
London,Lambeth,A23,'A' road,Local authority,Major,A214,A216,0.20,0.12,530030,171600,51.42849560,-0.13098323,6267
London,Croydon,A23,'A' road,Local authority,Major,Epsom Rd,Croydon Rd,0.10,0.06,531060,164800,51.36714802,-0.11868563,6268
South East,Surrey,A23,'A' road,Local authority,Major,"Station Road North, Reigate",B2031,1.00,0.62,529029,154242,51.27272675,-0.15166246,6269
South East,Brighton and Hove,A23,'A' road,Local authority,Major,A23 Old Steine roundabout,A23 Gloucester Place/Grand Parade,0.50,0.31,531360,104230,50.82271389,-0.13639075,6273
South East,West Sussex,A24,'A' road,Local authority,Major,"Bost Hill, Findon Valley",A280,1.70,1.06,512000,108300,50.86336311,-0.40988636,6279
South East,West Sussex,A24,'A' road,Local authority,Major,A259,A2031,0.20,0.12,514800,103100,50.81607162,-0.37174421,6280
South East,Kent,A25,'A' road,Local authority,Major,London Road,A233,1.20,0.75,544742,154001,51.26678958,0.07334567,6284
South East,Kent,A26,'A' road,Local authority,Major,B2015,B2163,1.50,0.93,569845,153378,51.25427181,0.43255106,6286
South East,Kent,A26,'A' road,Local authority,Major,Baltic Rd,B2280,0.70,0.43,558478,145391,51.18577905,0.26627343,6287
South East,Kent,A263,'A' road,Local authority,Major,A26 Mount Ephraim,A264 Church Rd/Crescent Rd,0.60,0.37,558395,139840,51.13592668,0.26264394,6288
South East,East Sussex,A26,'A' road,Local authority,Major,A2029,B2192,1.10,0.68,542200,111000,50.88099739,0.02003606,6290
South East,Southampton,A27,'A' road,Local authority,Major,A335,LA Boundary,2.10,1.30,445000,115550,50.93763702,-1.36093228,6292
South East,Hampshire,A27,'A' road,Local authority,Major,A27 spur to M27,B3334,3.10,1.93,453060,106700,50.85737655,-1.24751601,6293
South East,Portsmouth,A3,'A' road,Local authority,Major,"Johnson and Johnson RAB, nr Jnc 12 M27",RAB with A397 Northern Road,1.60,0.99,465000,105800,50.84806786,-1.07805801,6294
South East,West Sussex,A27,'A' road,Highways England,Major,B2145,A259,1.10,0.68,487730,104000,50.82888968,-0.75568545,6296
South East,West Sussex,A27,'A' road,Highways England,Major,A284 Arundel By-pass,A284 Lyminster Rd,2.20,1.37,502405,106492,50.84888536,-0.54668426,6297
South East,West Sussex,A27,'A' road,Highways England,Major,A2025,A283,2.50,1.55,520000,106000,50.84108636,-0.29701375,6298
South East,Brighton and Hove,A2010,'A' road,Local authority,Major,A259,A270,2.00,1.24,530970,105000,50.82972279,-0.14164973,6299
South East,Kent,A28,'A' road,Local authority,Major,School Rd,C road to Brissenden Green,1.90,1.18,593808,139583,51.12273869,0.76810544,6303
South East,Kent,A28,'A' road,Local authority,Major,"The Street, Kennington, Ashford",A252,10.70,6.65,606569,150655,51.21771403,0.95655931,6304
South East,Kent,A28,'A' road,Local authority,Major,A291,A253,9.40,5.84,620044,161799,51.31274009,1.15605808,6305
South East,West Sussex,A29,'A' road,Local authority,Major,A264,A281,5.30,3.29,510000,128900,51.04892151,-0.43207460,6306
South East,West Sussex,A29,'A' road,Local authority,Major,B2138,A283,5.10,3.17,504000,117679,50.94916758,-0.52085234,6307
South East,Surrey,A30,'A' road,Local authority,Major,A328,B388,1.40,0.87,500000,170870,51.42802289,-0.56298667,6309
South East,Hampshire,A30,'A' road,Local authority,Major,A327,B3272 Hawley Rd/Reading Rd,2.70,1.68,482781,159030,51.32435855,-0.81335540,6311
South East,Hampshire,A30,'A' road,Local authority,Major,A287,B3349,2.10,1.30,472000,153900,51.27970262,-0.96908085,6312
South West,Wiltshire,A36,'A' road,Highways England,Major,A345,A30,0.90,0.56,414700,130780,51.07615351,-1.79153702,6316
South West,Wiltshire,A30,'A' road,Local authority,Major,South St,A36(T),0.70,0.43,410070,131267,51.08063102,-1.85761358,6317
South West,Dorset,A30,'A' road,Local authority,Major,A350 Ivy Cross Roundabout,A350 Royal Chase Roundabout,1.20,0.75,386874,123084,51.00698199,-2.18845289,6318
South West,Dorset,A30,'A' road,Local authority,Major,LA Boundary,LA Boundary,2.10,1.30,369800,118180,50.96223878,-2.43139644,6319
South West,Somerset,A30,'A' road,Local authority,Major,A37,A3088,0.80,0.50,355143,115280,50.93520394,-2.63973334,6320
South West,Cornwall excluding Isles of Scilly,A388,'A' road,Local authority,Major,A30,A388 Woodra Rd,1.50,0.93,232766,84000,50.63163839,-4.36606393,6326
South West,Cornwall excluding Isles of Scilly,A30,'A' road,Highways England,Major,A30 spur to A38,A395,27.20,16.90,210050,70255,50.50120308,-4.67990137,6327
South West,Cornwall excluding Isles of Scilly,A3047,'A' road,Local authority,Major,Weeth Rd,B3303,1.70,1.06,164000,40361,50.21606476,-5.30948595,6331
South East,Hampshire,A31,'A' road,Local authority,Major,B3004 roundabout,LA Boundary,9.40,5.84,475000,141800,51.17053094,-0.92860653,6335
South East,Hampshire,A3090,'A' road,Local authority,Major,"Halterworth Lane, Romsey",B3043,6.40,3.98,440000,123180,51.00661400,-1.43125083,6337
South East,Hampshire,A36,'A' road,Local authority,Major,A31,A36,1.40,0.87,432500,116500,50.94701820,-1.53873830,6338
South East,Hampshire,A31,'A' road,Highways England,Major,LA Boundary,A338,1.00,0.62,414200,105200,50.84614115,-1.79966733,6339
South East,Hampshire,A32,'A' road,Local authority,Major,A334,B2177,0.40,0.25,457500,111200,50.89741774,-1.18373418,6344
South East,Hampshire,A32,'A' road,Local authority,Major,B3333,B3334,3.90,2.42,459820,101008,50.80553798,-1.15241154,6345
South East,Hampshire,A34,'A' road,Highways England,Major,M3,A33,1.60,0.99,449553,130789,51.07429033,-1.29406171,6347
South East,Southampton,A33,'A' road,Local authority,Major,A3024,A3035,2.70,1.68,441887,114079,50.92464422,-1.40540313,6349
North West,East Cheshire,A34,'A' road,Local authority,Major,LA Boundary,A50,0.50,0.31,382800,355000,53.09194540,-2.25828533,6352
